Nr;Event;F1-P;F1-R;Purity;GPrecision;GRecall;Redundancy;numCluster;numClasses;
82;;0.7744670303503021;0.750587968716995;0.8905107079336323;1.0;0.916;0.001;5.0;5.0;
83;;0.7239180433041895;0.7079081407299291;0.8617109410631949;1.0;0.893;0.029;5.0;5.0;
84;;0.7465910436386699;0.7284298300949312;0.8669971563181859;1.0;0.922;0.023;5.0;5.0;
85;;0.5989821194421794;0.5558428912525075;0.744589049853062;1.0;0.897;0.4;5.0;5.0;
86;;0.821511791674995;0.697236837890082;0.8217293294940353;1.0;0.921;0.203;5.0;5.0;
87;;0.7524041775916176;0.7316465859694525;0.8049217296538169;1.0;0.889;0.0;5.0;5.0;
88;;0.8145150179325518;0.6996856681505137;0.8358358806726434;1.0;0.915;0.226;5.0;5.0;
89;;0.7928522412768295;0.7615451400492526;0.8952998225087987;1.0;0.916;0.0;5.0;5.0;
90;;0.5787481444938696;0.6068000571598549;0.8230088975025016;1.0;0.778;0.0;5.0;5.0;
91;;0.9096328286950905;0.7685168677354194;0.9168501296704274;1.0;0.915;0.07;5.0;5.0;
92;;0.7928238057753172;0.7173173291855243;0.9142507337988611;1.0;0.82;0.0;5.0;5.0;
93;;0.7995798389984574;0.7579831991653813;0.8970308446639079;1.0;0.871;0.0;5.0;5.0;
94;;0.7398630172492664;0.7104751663080903;0.8367353202080207;1.0;0.912;0.027;5.0;5.0;
95;;0.8934879375731443;0.7521001630313838;0.9029826862769091;1.0;0.915;0.08;5.0;5.0;
96;;0.8165803266089222;0.6876778501117516;0.8120183621958302;1.0;0.917;0.217;5.0;5.0;
97;;0.6668019209181114;0.6072819283494457;0.7016090317768805;1.0;0.938;0.295;5.0;5.0;
98;;0.7166993154116843;0.6751837018102065;0.853370151789484;1.0;0.922;0.163;5.0;5.0;
99;;0.776536301247893;0.7440298839327156;0.8861762226642833;1.0;0.871;0.012;5.0;5.0;
